image_id,recording,frame_id,time_sec,worker_index,source,yolo_conf,bbox_x1,bbox_y1,bbox_x2,bbox_y2,inner_x1,inner_y1,inner_x2,inner_y2,depth_region_x1,depth_region_y1,depth_region_x2,depth_region_y2,depth_z_m,distance_band,depth_status,depth_source,depth_valid_count,depth_high_conf_count,depth_reason,manual_distance_band,distance_band_gt,count_ok,updated_at
Garage1_000000,Garage1,0,0.0,1,yolo,0.898753,477.025391,402.486053,577.69989,719.470703,502.194016,450.03375,552.531265,592.676843,133,120,148,159,2.978516,Very_Close,valid_depth,conf2,550,466,conf_eq_2,,Very_Close,true,2026-07-02T11:42:37-04:00
Garage1_000036,Garage1,36,0.6002368750050664,1,yolo,0.89976,357.85376,404.487213,487.248688,719.612427,390.202492,451.755995,454.899956,593.562341,104,120,122,159,3.447266,Close,valid_depth,conf2,574,409,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_000060,Garage1,60,1.0003945000935346,1,yolo,0.885474,336.193817,401.15506,441.536407,718.250488,362.529465,448.719374,415.20076,591.412317,96,119,111,158,3.806641,Close,valid_depth,conf2,566,539,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_000108,Garage1,108,1.8007089160382748,1,yolo,0.868903,269.335327,405.609131,374.01416,678.372131,295.505035,446.523581,347.844452,569.266931,78,119,93,152,4.574219,Close,valid_depth,conf2,438,389,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_000132,Garage1,132,2.2008658749982715,1,yolo,0.795027,233.615387,404.87384,314.444916,658.944946,253.822769,442.984506,294.237534,557.316504,67,118,79,149,4.839844,Close,valid_depth,conf2,325,47,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
Garage1_000588,Garage1,588,9.803841958055273,1,edited,0.852197,700.881592,414.390808,763.354126,588.983582,716.499725,440.579724,747.735992,519.146472,191,117,200,139,6.722656,Far,valid_depth,conf2,170,24,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_000612,Garage1,612,10.20399820804596,1,edited,0.827072,644.026245,408.587555,718.335754,586.699341,662.603622,435.304323,699.758377,515.454627,176,116,187,138,7.039062,Far,valid_depth,conf2,155,83,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_000672,Garage1,672,11.204388833139092,1,yolo,0.841027,537.148315,410.565582,587.630249,578.718994,549.768799,435.788594,575.009766,511.457629,146,116,154,137,7.257812,Far,valid_depth,conf2,138,77,conf_eq_2,,Far,true,2026-07-02T11:42:37-04:00
Garage1_000720,Garage1,720,12.004701416008174,1,yolo,0.813725,475.238159,409.725769,523.098816,567.071411,487.203323,433.327615,511.133652,504.133154,129,115,137,135,,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,true,2026-07-02T11:42:37-04:00
Garage1_000804,Garage1,804,13.405248166061938,1,yolo,0.815284,428.280701,405.547485,463.685364,546.510132,437.131867,426.691882,454.834198,490.125073,116,113,122,131,8.65625,Far,valid_depth,conf1,9,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_000840,Garage1,840,14.005482291104272,1,yolo,0.806033,400.583405,409.38913,451.612701,553.062134,413.340729,430.940081,438.855377,495.592932,110,114,118,133,8.609375,Far,valid_depth,conf1,106,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_000888,Garage1,888,14.805794625077397,1,yolo,0.877143,378.614594,407.313263,432.89502,575.307617,392.184701,432.512416,419.324913,508.109875,104,115,112,136,7.421875,Far,valid_depth,conf1,133,,fallback_conf_ge_1,,Far,true,2026-07-02T11:42:37-04:00
Garage1_000984,Garage1,984,16.40641887509264,1,yolo,0.851489,339.910339,411.456116,416.585815,633.978516,359.079208,444.834476,397.416946,544.969556,95,118,106,146,5.585938,Close,valid_depth,conf2,303,248,conf_eq_2,,Close,true,2026-07-02T11:42:37-04:00
