recording,loc,frame_id,time_sec,person_rank,person_count,bbox,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_area,yolo_conf,dist_conf2,dist_conf1,gt_distance_m,band,has_conf2,conf2_pixel_count,conf1_pixel_count,conf2_vs_conf1_abs_diff_m,divergence_flag,sharpness,vest,hard_hat,occlusion,orientation,lateral
Garage1,Garage,0,0.0,1,1,"477.03,402.49,577.70,719.47",477.025390625,402.4860534667969,577.6998901367188,719.470703125,31912.27095723711,0.8987530469894409,2.96875,2.97265625,2.96875,<3,True,742,818,0.00390625,False,529.7536103732328,,,,,
Garage1,Garage,36,0.6002368750050664,1,1,"357.85,404.49,487.25,719.61",357.853759765625,404.4872131347656,487.2486877441406,719.6124267578125,40775.6043209685,0.8997597098350525,3.45703125,3.4755859375,3.45703125,3-5,True,632,852,0.0185546875,False,931.5880024901495,,,,,
Garage1,Garage,60,1.0003945000935346,1,1,"336.19,401.16,441.54,718.25",336.1938171386719,401.1550598144531,441.5364074707031,718.25048828125,33403.6538171377,0.8854735493659973,3.806640625,3.814453125,3.806640625,3-5,True,590,802,0.0078125,False,1315.660793030763,,,,,
Garage1,Garage,108,1.8007089160382748,1,1,"269.34,405.61,374.01,678.37",269.3353271484375,405.609130859375,374.01416015625,678.3721313476562,28552.512578822672,0.8689025640487671,4.578125,4.5859375,4.578125,3-5,True,458,640,0.0078125,False,1420.6043572820222,,,,,
Garage1,Garage,132,2.2008658749982715,1,1,"233.62,404.87,314.44,658.94",233.61538696289062,404.87384033203125,314.4449157714844,658.9449462890625,20536.447778385133,0.7950270771980286,4.83984375,4.78125,4.83984375,3-5,True,47,450,0.05859375,False,1797.7512133277803,,,,,
Garage1,Garage,588,9.803841958055273,1,1,"693.88,412.39,791.35,588.98",693.881591796875,412.39080810546875,791.3541259765625,588.9835815429688,17212.94514477253,0.8521971702575684,6.72265625,6.76171875,6.72265625,>5,True,25,262,0.0390625,False,899.7538977974241,,,,,
Garage1,Garage,612,10.20399820804596,1,1,"635.03,407.59,718.34,585.70",635.0262451171875,407.5875549316406,718.3357543945312,585.6993408203125,14838.405478896573,0.8270724415779114,7.04296875,7.06640625,7.04296875,>5,True,116,271,0.0234375,False,1425.3987201621494,,,,,
Garage1,Garage,672,11.204388833139092,1,1,"537.15,410.57,587.63,578.72",537.1483154296875,410.5655822753906,587.6302490234375,578.718994140625,8488.709371343255,0.8410266041755676,7.2578125,7.2734375,7.2578125,>5,True,83,193,0.015625,False,1726.1456866281378,,,,,
Garage1,Garage,720,12.004701416008174,1,1,"475.24,409.73,523.10,567.07",475.2381591796875,409.72576904296875,523.0988159179688,567.0714111328125,7530.66576532647,0.8137252330780029,,9.6015625,9.6015625,>5,False,0,7,,False,1642.2629029302477,,,,,
Garage1,Garage,804,13.405248166061938,1,1,"428.28,405.55,463.69,546.51",428.28070068359375,405.5474853515625,463.68536376953125,546.5101318359375,4990.735006481409,0.8152837157249451,,8.66796875,8.66796875,>5,False,0,22,,False,3721.2660838148786,,,,,
Garage1,Garage,840,14.005482291104272,1,1,"400.58,409.39,451.61,553.06",400.5834045410156,409.3891296386719,451.6127014160156,553.0621337890625,7331.53238171339,0.8060327768325806,,8.546875,8.546875,>5,False,0,140,,False,3306.968303020495,,,,,
Garage1,Garage,888,14.805794625077397,1,1,"378.61,407.31,432.90,575.31",378.6145935058594,407.3132629394531,432.89501953125,575.3076171875,9118.805118444376,0.8771430850028992,8.07421875,7.40625,8.07421875,>5,True,8,189,0.66796875,True,3097.115012467154,,,,,
Garage1,Garage,984,16.40641887509264,1,1,"339.91,411.46,416.59,633.98",339.91033935546875,411.45611572265625,416.5858154296875,633.978515625,17062.010949689895,0.8514887094497681,5.58203125,5.58984375,5.58203125,>5,True,239,388,0.0078125,False,2512.5692523860657,,,,,
Garage1,Garage,1008,16.806574875023216,1,1,"323.30,408.93,403.48,645.79",323.29547119140625,408.9339294433594,403.47918701171875,645.7916259765625,18992.130228672177,0.9012460708618164,5.1953125,5.203125,5.1953125,>5,True,326,472,0.0078125,False,2572.9945830883526,,,,,
Garage1,Garage,1032,17.206730875186622,1,1,"302.93,407.52,390.85,671.14",302.93218994140625,407.51678466796875,390.8486328125,671.142578125,23177.04200981185,0.8548537492752075,4.72265625,4.73828125,4.72265625,3-5,True,254,545,0.015625,False,2413.819506904444,,,,,
Garage1,Garage,1056,17.60688691609539,1,1,"225.97,412.06,371.82,686.65",225.97164916992188,412.05926513671875,371.81854248046875,686.654296875,40048.83229753934,0.9050442576408386,4.484375,4.5,4.484375,3-5,True,449,777,0.015625,False,1454.3364375929987,,,,,
Garage1,Garage,1356,22.608834458049387,1,1,"292.61,409.27,386.19,692.40",292.606201171875,409.2673645019531,386.193359375,692.39697265625,26497.29543032497,0.8449285626411438,4.265625,4.28515625,4.265625,3-5,True,389,571,0.01953125,False,1502.672761741531,,,,,
Garage1,Garage,1380,23.00899004121311,1,1,"341.33,406.69,489.06,692.11",341.32958984375,406.69061279296875,489.0621337890625,692.1102905273438,42165.77508375049,0.892087459564209,4.265625,4.296875,4.265625,3-5,True,473,816,0.03125,False,1003.347141462247,,,,,
Garage1,Garage,1428,23.809300958178937,1,1,"521.32,405.13,591.15,688.78",521.32421875,405.1333923339844,591.1502685546875,688.783935546875,19806.196957509965,0.8266228437423706,4.3203125,4.328125,4.3203125,3-5,True,404,480,0.0078125,False,1101.2340136485855,,,,,
