worker_key,image_id,worker_index,bbox,high_visibility_vest,helmet_status,orientation,occlusion_level,phone_status,verified,notes,label_source,reviewed_at,final_gt,finalized_at
Garage1_000000#1,Garage1_000000,1,"477.025,402.486,577.7,719.471",true,absent,Back,none,none,true,,human_verified,2026-06-25T23:48:29-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000036#1,Garage1_000036,1,"357.854,404.487,487.249,719.612",true,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000060#1,Garage1_000060,1,"336.194,401.155,441.536,718.25",true,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000108#1,Garage1_000108,1,"269.335,405.609,374.014,678.372",true,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000132#1,Garage1_000132,1,"233.615,404.874,314.445,658.945",true,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000588#1,Garage1_000588,1,"700.882,414.391,763.354,588.984",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000612#1,Garage1_000612,1,"644.026,408.588,718.336,586.699",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000672#1,Garage1_000672,1,"537.148,410.566,587.63,578.719",true,absent,Side,none,none,true,,human_verified,2026-06-26T14:50:37-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000720#1,Garage1_000720,1,"475.238,409.726,523.099,567.071",true,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000804#1,Garage1_000804,1,"428.281,405.547,463.685,546.51",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000840#1,Garage1_000840,1,"400.583,409.389,451.613,553.062",true,absent,Facing,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000888#1,Garage1_000888,1,"378.615,407.313,432.895,575.308",true,absent,Facing,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_000984#1,Garage1_000984,1,"339.91,411.456,416.586,633.979",true,absent,Facing,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001008#1,Garage1_001008,1,"323.295,408.934,403.479,645.792",true,absent,Facing,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001032#1,Garage1_001032,1,"302.932,407.517,390.849,671.143",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001056#1,Garage1_001056,1,"237.972,405.059,362.819,686.654",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001356#1,Garage1_001356,1,"292.606,409.267,386.193,692.397",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001380#1,Garage1_001380,1,"341.33,406.691,489.062,692.11",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001428#1,Garage1_001428,1,"521.324,405.133,591.15,688.784",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001704#1,Garage1_001704,1,"665.895,407.358,761.342,705.432",true,absent,Facing,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001704#2,Garage1_001704,2,"234.244,420.802,340.251,628.791",false,absent,Side,partial,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001728#1,Garage1_001728,1,"634.701,403.565,741.823,707.289",true,absent,Facing,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001728#2,Garage1_001728,2,"321.087,414.208,387.747,608.452",false,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001752#1,Garage1_001752,1,"590.725,408.966,713.066,703.391",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001752#2,Garage1_001752,2,"382.619,417.359,442.151,591.46",false,absent,Side,none,uncertain,true,,human_verified,2026-06-26T13:40:17-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001776#1,Garage1_001776,1,"585.849,406.483,654.386,693.457",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001776#2,Garage1_001776,2,"416.895,409.889,495.443,581.796",false,absent,Back,none,uncertain,true,,human_verified,2026-06-26T14:43:57-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001800#1,Garage1_001800,1,"574.82,409.168,652.031,698.809",true,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001800#2,Garage1_001800,2,"465.462,424.38,531.991,574.458",false,absent,Side,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001824#1,Garage1_001824,1,"578.655,407.979,647.989,697.534",true,absent,Side,none,none,true,,human_verified,2026-06-26T14:50:44-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001824#2,Garage1_001824,2,"505.847,419.424,568.512,563.185",false,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
Garage1_001848#1,Garage1_001848,1,"573.953,407.516,660.551,700.177",true,absent,Back,none,none,true,,gpt_prelabel,2026-06-26T15:21:03-04:00,true,2026-06-26T15:21:03-04:00
