worker_key,image_id,recording,scene_type,worker_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,inner_x1,inner_y1,inner_x2,inner_y2,depth_z_m,manual_distance_band,distance_class_3,high_visibility_vest,helmet_status,helmet_worn_binary,orientation,occlusion_level,phone_status
Garage1_000000#1,Garage1_000000,Garage1,indoor_garage,1,477.025391,402.486053,577.69989,719.470703,502.194016,450.03375,552.531265,592.676843,2.978516,,<3,true,absent,false,Back,none,none
Garage1_000036#1,Garage1_000036,Garage1,indoor_garage,1,357.85376,404.487213,487.248688,719.612427,390.202492,451.755995,454.899956,593.562341,3.447266,,3-6,true,absent,false,Back,none,none
Garage1_000060#1,Garage1_000060,Garage1,indoor_garage,1,336.193817,401.15506,441.536407,718.250488,362.529465,448.719374,415.20076,591.412317,3.806641,,3-6,true,absent,false,Back,none,none
Garage1_000108#1,Garage1_000108,Garage1,indoor_garage,1,269.335327,405.609131,374.01416,678.372131,295.505035,446.523581,347.844452,569.266931,4.574219,,3-6,true,absent,false,Back,none,none
Garage1_000132#1,Garage1_000132,Garage1,indoor_garage,1,233.615387,404.87384,314.444916,658.944946,253.822769,442.984506,294.237534,557.316504,4.839844,,3-6,true,absent,false,Back,none,none
Garage1_000588#1,Garage1_000588,Garage1,indoor_garage,1,700.881592,414.390808,763.354126,588.983582,716.499725,440.579724,747.735992,519.146472,6.722656,,>6,true,absent,false,Side,none,none
Garage1_000612#1,Garage1_000612,Garage1,indoor_garage,1,644.026245,408.587555,718.335754,586.699341,662.603622,435.304323,699.758377,515.454627,7.039062,,>6,true,absent,false,Side,none,none
Garage1_000672#1,Garage1_000672,Garage1,indoor_garage,1,537.148315,410.565582,587.630249,578.718994,549.768799,435.788594,575.009766,511.457629,7.257812,,>6,true,absent,false,Side,none,none
Garage1_000720#1,Garage1_000720,Garage1,indoor_garage,1,475.238159,409.725769,523.098816,567.071411,487.203323,433.327615,511.133652,504.133154,,>6,>6,true,absent,false,Back,none,none
Garage1_000804#1,Garage1_000804,Garage1,indoor_garage,1,428.280701,405.547485,463.685364,546.510132,437.131867,426.691882,454.834198,490.125073,8.65625,,>6,true,absent,false,Side,none,none
Garage1_000840#1,Garage1_000840,Garage1,indoor_garage,1,400.583405,409.38913,451.612701,553.062134,413.340729,430.940081,438.855377,495.592932,8.609375,,>6,true,absent,false,Facing,none,none
Garage1_000888#1,Garage1_000888,Garage1,indoor_garage,1,378.614594,407.313263,432.89502,575.307617,392.184701,432.512416,419.324913,508.109875,7.421875,,>6,true,absent,false,Facing,none,none
Garage1_000984#1,Garage1_000984,Garage1,indoor_garage,1,339.910339,411.456116,416.585815,633.978516,359.079208,444.834476,397.416946,544.969556,5.585938,,3-6,true,absent,false,Facing,none,none
Garage1_001008#1,Garage1_001008,Garage1,indoor_garage,1,323.295471,408.933929,403.479187,645.791626,343.3414,444.462584,383.433258,551.048547,5.195312,,3-6,true,absent,false,Facing,none,none
Garage1_001032#1,Garage1_001032,Garage1,indoor_garage,1,302.93219,407.516785,390.848633,671.142578,324.911301,447.060654,368.869522,565.692261,4.71875,,3-6,true,absent,false,Side,none,none
Garage1_001056#1,Garage1_001056,Garage1,indoor_garage,1,237.971649,405.059265,362.818542,686.654297,269.183372,447.29852,331.606819,574.016284,4.480469,,3-6,true,absent,false,Side,none,none
Garage1_001356#1,Garage1_001356,Garage1,indoor_garage,1,292.606201,409.267365,386.193359,692.396973,316.002991,451.736806,362.796569,579.14513,4.257812,,3-6,true,absent,false,Side,none,none
Garage1_001380#1,Garage1_001380,Garage1,indoor_garage,1,341.32959,406.690613,489.062134,692.110291,378.262726,449.503565,452.128998,577.94242,4.25,,3-6,true,absent,false,Side,none,none
Garage1_001428#1,Garage1_001428,Garage1,indoor_garage,1,521.324219,405.133392,591.150269,688.783936,538.780732,447.680974,573.693756,575.323718,4.3125,,3-6,true,absent,false,Side,none,none
Garage1_001704#1,Garage1_001704,Garage1,indoor_garage,1,665.89502,407.357941,761.342163,705.431519,689.756806,452.068978,737.480377,586.202088,4.230469,,3-6,true,absent,false,Facing,none,none
Garage1_001704#2,Garage1_001704,Garage1,indoor_garage,2,234.243759,420.801544,340.251282,628.791016,260.74564,451.999965,313.749401,545.595227,5.441406,,3-6,false,absent,false,Side,partial,none
Garage1_001728#1,Garage1_001728,Garage1,indoor_garage,1,634.700562,403.564514,741.822998,707.288696,661.481171,449.123141,715.042389,585.799023,4.125,,3-6,true,absent,false,Facing,none,none
Garage1_001728#2,Garage1_001728,Garage1,indoor_garage,2,321.087463,414.207825,387.746796,608.451599,337.752296,443.344391,371.081963,530.754089,5.878906,,3-6,false,absent,false,Side,none,none
Garage1_001752#1,Garage1_001752,Garage1,indoor_garage,1,590.72522,408.965881,713.065674,703.391418,621.310334,453.129712,682.48056,585.621203,4.15625,,3-6,true,absent,false,Side,none,none
Garage1_001752#2,Garage1_001752,Garage1,indoor_garage,2,382.618835,417.358948,442.150909,591.4599,397.501853,443.474091,427.267891,521.819519,6.392578,,>6,false,absent,false,Side,none,uncertain
Garage1_001776#1,Garage1_001776,Garage1,indoor_garage,1,585.849182,406.483154,654.386475,693.457214,602.983505,449.529263,637.252152,578.66759,4.167969,,3-6,true,absent,false,Side,none,none
Garage1_001776#2,Garage1_001776,Garage1,indoor_garage,2,416.894623,409.889465,495.442657,581.796204,436.531632,435.675476,475.805649,513.033508,7.005859,,>6,false,absent,false,Back,none,uncertain
Garage1_001800#1,Garage1_001800,Garage1,indoor_garage,1,574.820312,409.168488,652.031006,698.80896,594.122985,452.614559,632.728333,582.952771,4.257812,,3-6,true,absent,false,Side,none,none
Garage1_001800#2,Garage1_001800,Garage1,indoor_garage,2,465.462158,424.379944,531.990784,574.458313,482.094314,446.891699,515.358628,514.426965,7.160156,,>6,false,absent,false,Side,none,none
Garage1_001824#1,Garage1_001824,Garage1,indoor_garage,1,578.655151,407.978638,647.989258,697.534363,595.988678,451.411997,630.655731,581.712073,4.261719,,3-6,true,absent,false,Side,none,none
Garage1_001824#2,Garage1_001824,Garage1,indoor_garage,2,505.84671,419.423859,568.511963,563.185181,521.513023,440.988057,552.84565,505.680652,7.707031,,>6,false,absent,false,Back,none,none
Garage1_001848#1,Garage1_001848,Garage1,indoor_garage,1,573.952759,407.516174,660.550659,700.177124,595.602234,451.415317,638.901184,583.112744,4.296875,,3-6,true,absent,false,Back,none,none
Garage1_001848#2,Garage1_001848,Garage1,indoor_garage,2,543.959045,412.958344,574.126526,552.324097,551.500915,433.863207,566.584656,496.577796,,>6,>6,false,absent,false,Back,heavy,uncertain
Garage1_001872#1,Garage1_001872,Garage1,indoor_garage,1,565.576477,405.879883,655.365479,677.092224,588.023727,446.561734,632.918229,568.607288,4.480469,,3-6,true,absent,false,Back,none,none
Garage1_001896#1,Garage1_001896,Garage1,indoor_garage,1,577.556274,405.235016,666.727051,668.189087,599.848968,444.678127,644.434357,563.007459,4.6875,,3-6,true,absent,false,Back,none,none
Garage1_001932#1,Garage1_001932,Garage1,indoor_garage,1,624.013062,408.134308,705.477295,650.337646,644.37912,444.464809,685.111237,553.456311,5.046875,,3-6,true,absent,false,Back,none,none
Garage1_002064#1,Garage1_002064,Garage1,indoor_garage,1,709.524536,415.402496,747.400085,504.546661,718.993423,428.774121,737.931198,468.888995,11.480469,,>6,false,absent,false,Back,none,uncertain
Garage1_002064#2,Garage1_002064,Garage1,indoor_garage,2,900.055603,407.062897,951.046326,463.039337,912.803284,415.459363,938.298645,440.648761,,3-6,3-6,uncertain,absent,false,Back,heavy,uncertain
Garage1_002304#1,Garage1_002304,Garage1,indoor_garage,1,609.590393,409.117035,658.732056,565.478638,621.875809,432.571275,646.44664,502.933997,7.609375,,>6,true,absent,false,Side,none,none
Garage1_002340#1,Garage1_002340,Garage1,indoor_garage,1,550.535339,410.350952,590.714172,566.147888,560.580047,433.720492,580.669464,503.829114,7.742188,,>6,true,absent,false,Side,none,none
Garage1_002376#1,Garage1_002376,Garage1,indoor_garage,1,493.400757,410.905701,533.806824,564.040283,503.502274,433.875888,523.705307,502.78645,7.816406,,>6,true,absent,false,Side,none,none
Garage1_002472#1,Garage1_002472,Garage1,indoor_garage,1,374.672882,405.078461,438.475342,589.186279,390.623497,432.694634,422.524727,515.543152,6.707031,,>6,true,absent,false,Facing,none,none
