worker_key,image_id,recording,scene_type,frame_id,time_sec,worker_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,inner_x1,inner_y1,inner_x2,inner_y2,depth_region_x1,depth_region_y1,depth_region_x2,depth_region_y2,depth_z_m,depth_status,depth_source,depth_valid_count,depth_high_conf_count,depth_reason,manual_distance_band,distance_band_gt_original,distance_class_3,distance_label_source,depth_train_usable,distance_eval_usable,high_visibility_vest,helmet_status,helmet_worn_binary,orientation,occlusion_level,phone_status,semantic_verified,semantic_final_gt,semantic_label_source,notes
Garage1_000000#1,Garage1_000000,Garage1,indoor_garage,0,0.0,1,477.025391,402.486053,577.69989,719.470703,502.194016,450.03375,552.531265,592.676843,133,120,148,159,2.978516,valid_depth,conf2,550,466,conf_eq_2,,Very_Close,<3,lidar_depth_z_m,true,true,true,absent,false,Back,none,none,true,true,human_verified,
Garage1_000036#1,Garage1_000036,Garage1,indoor_garage,36,0.6002368750050664,1,357.85376,404.487213,487.248688,719.612427,390.202492,451.755995,454.899956,593.562341,104,120,122,159,3.447266,valid_depth,conf2,574,409,conf_eq_2,,Close,3-6,lidar_depth_z_m,true,true,true,absent,false,Back,none,none,true,true,gpt_prelabel,
Garage1_000060#1,Garage1_000060,Garage1,indoor_garage,60,1.0003945000935346,1,336.193817,401.15506,441.536407,718.250488,362.529465,448.719374,415.20076,591.412317,96,119,111,158,3.806641,valid_depth,conf2,566,539,conf_eq_2,,Close,3-6,lidar_depth_z_m,true,true,true,absent,false,Back,none,none,true,true,gpt_prelabel,
Garage1_000108#1,Garage1_000108,Garage1,indoor_garage,108,1.8007089160382748,1,269.335327,405.609131,374.01416,678.372131,295.505035,446.523581,347.844452,569.266931,78,119,93,152,4.574219,valid_depth,conf2,438,389,conf_eq_2,,Close,3-6,lidar_depth_z_m,true,true,true,absent,false,Back,none,none,true,true,gpt_prelabel,
Garage1_000132#1,Garage1_000132,Garage1,indoor_garage,132,2.2008658749982715,1,233.615387,404.87384,314.444916,658.944946,253.822769,442.984506,294.237534,557.316504,67,118,79,149,4.839844,valid_depth,conf2,325,47,conf_eq_2,,Close,3-6,lidar_depth_z_m,true,true,true,absent,false,Back,none,none,true,true,gpt_prelabel,
Garage1_000588#1,Garage1_000588,Garage1,indoor_garage,588,9.803841958055273,1,700.881592,414.390808,763.354126,588.983582,716.499725,440.579724,747.735992,519.146472,191,117,200,139,6.722656,valid_depth,conf2,170,24,conf_eq_2,,Far,>6,lidar_depth_z_m,true,true,true,absent,false,Side,none,none,true,true,gpt_prelabel,
Garage1_000612#1,Garage1_000612,Garage1,indoor_garage,612,10.20399820804596,1,644.026245,408.587555,718.335754,586.699341,662.603622,435.304323,699.758377,515.454627,176,116,187,138,7.039062,valid_depth,conf2,155,83,conf_eq_2,,Far,>6,lidar_depth_z_m,true,true,true,absent,false,Side,none,none,true,true,gpt_prelabel,
Garage1_000672#1,Garage1_000672,Garage1,indoor_garage,672,11.204388833139092,1,537.148315,410.565582,587.630249,578.718994,549.768799,435.788594,575.009766,511.457629,146,116,154,137,7.257812,valid_depth,conf2,138,77,conf_eq_2,,Far,>6,lidar_depth_z_m,true,true,true,absent,false,Side,none,none,true,true,human_verified,
Garage1_000720#1,Garage1_000720,Garage1,indoor_garage,720,12.004701416008174,1,475.238159,409.725769,523.098816,567.071411,487.203323,433.327615,511.133652,504.133154,129,115,137,135,,not_valid_depth,none,,,no_valid_depth_in_inner_box,>6,>6,>6,manual_distance_band,false,true,true,absent,false,Back,none,none,true,true,gpt_prelabel,
Garage1_000804#1,Garage1_000804,Garage1,indoor_garage,804,13.405248166061938,1,428.280701,405.547485,463.685364,546.510132,437.131867,426.691882,454.834198,490.125073,116,113,122,131,8.65625,valid_depth,conf1,9,,fallback_conf_ge_1,,Far,>6,lidar_depth_z_m,true,true,true,absent,false,Side,none,none,true,true,gpt_prelabel,
