worker_key,image_id,image_path,worker_index,bbox_x1,bbox_y1,bbox_x2,bbox_y2,depth_z_m,distance_class_3
2person-garage_000009#1,2person-garage_000009,images/2person-garage_000009.png,1,292.289551,294.719238,340.67865,480.906921,6.4375,>6
2person-garage_000009#2,2person-garage_000009,images/2person-garage_000009.png,2,549.233826,305.666565,615.273376,501.3013,5.789062,3-6
2person-garage_000016#1,2person-garage_000016,images/2person-garage_000016.png,1,273.891937,282.264313,363.490723,492.876617,5.5625,3-6
2person-garage_000016#2,2person-garage_000016,images/2person-garage_000016.png,2,586.930298,316.488312,659.14209,514.204041,5.707031,3-6
2person-garage_000027#1,2person-garage_000027,images/2person-garage_000027.png,1,214.738739,264.967743,300.877899,501.285034,5.332031,3-6
2person-garage_000027#2,2person-garage_000027,images/2person-garage_000027.png,2,592.366089,304.121185,677.722046,509.639862,5.355469,3-6
2person-garage_000030#1,2person-garage_000030,images/2person-garage_000030.png,1,216.77446,278.433014,305.259674,513.512756,5.273438,3-6
2person-garage_000030#2,2person-garage_000030,images/2person-garage_000030.png,2,640.627869,318.25882,726.77771,531.227051,4.972656,3-6
2person-garage_000045#1,2person-garage_000045,images/2person-garage_000045.png,1,189.363251,303.642059,271.016785,555.036621,4.855469,3-6
2person-garage_000045#2,2person-garage_000045,images/2person-garage_000045.png,2,799.229553,339.928253,922.458801,663.5177,3.615234,3-6
2person-garage_000051#1,2person-garage_000051,images/2person-garage_000051.png,1,173.495377,306.218628,280.165283,547.524414,5.074219,3-6
2person-garage_000051#2,2person-garage_000051,images/2person-garage_000051.png,2,781.348022,354.826752,937.353149,711.143127,3.307617,3-6
2person-garage_000067#1,2person-garage_000067,images/2person-garage_000067.png,1,327.576508,311.709778,390.708893,495.074982,6.539062,>6
2person-garage_000067#2,2person-garage_000067,images/2person-garage_000067.png,2,686.472471,350.756686,803.985664,719.241394,2.992188,<3
2person-garage_000070#1,2person-garage_000070,images/2person-garage_000070.png,1,331.723389,312.918121,400.873199,496.100586,6.839844,>6
2person-garage_000070#2,2person-garage_000070,images/2person-garage_000070.png,2,647.442505,336.094208,782.503662,718.539734,3.011719,3-6
2person-garage_000082#1,2person-garage_000082,images/2person-garage_000082.png,1,404.493103,365.987091,447.189819,519.211914,7.779297,>6
2person-garage_000082#2,2person-garage_000082,images/2person-garage_000082.png,2,464.660339,373.701019,557.697144,719.620972,3.095703,3-6
2person-garage_000099#1,2person-garage_000099,images/2person-garage_000099.png,1,260.264191,366.928467,338.125267,620.530621,4.539062,3-6
2person-garage_000099#2,2person-garage_000099,images/2person-garage_000099.png,2,461.249769,367.633026,521.706016,519.894925,8.265625,>6
2person-garage_000108#1,2person-garage_000108,images/2person-garage_000108.png,1,257.722412,320.830353,354.730774,518.250732,5.792969,3-6
2person-garage_000108#2,2person-garage_000108,images/2person-garage_000108.png,2,517.6474,323.990112,570.559021,477.303223,7.890625,>6
2person-garage_000117#1,2person-garage_000117,images/2person-garage_000117.png,1,277.943848,305.975464,335.113373,474.220367,6.828125,>6
2person-garage_000117#2,2person-garage_000117,images/2person-garage_000117.png,2,520.895325,311.775879,576.071228,471.008148,7.445312,>6
2person-garage_000122#1,2person-garage_000122,images/2person-garage_000122.png,1,289.71167,338.863007,349.215637,490.161072,7.246094,>6
2person-garage_000122#2,2person-garage_000122,images/2person-garage_000122.png,2,508.117218,320.821838,576.348328,492.38031,7.078125,>6
2person-garage_000132#1,2person-garage_000132,images/2person-garage_000132.png,1,271.654755,317.824432,337.749329,476.527252,7.449219,>6
2person-garage_000132#2,2person-garage_000132,images/2person-garage_000132.png,2,433.0578,310.30014,503.8396,510.729675,5.902344,3-6
2person-garage_000146#1,2person-garage_000146,images/2person-garage_000146.png,1,262.052856,309.123535,372.4823,553.834473,5.076172,3-6
2person-garage_000146#2,2person-garage_000146,images/2person-garage_000146.png,2,374.362946,334.575348,423.181458,502.710114,6.402344,>6
2person-garage_000157#1,2person-garage_000157,images/2person-garage_000157.png,1,203.888077,298.334381,297.174255,565.841553,4.621094,3-6
2person-garage_000157#2,2person-garage_000157,images/2person-garage_000157.png,2,483.086548,331.094421,548.985474,537.083191,5.585938,3-6
2person-garage_000163#1,2person-garage_000163,images/2person-garage_000163.png,1,108.179398,309.009369,237.841415,587.261719,4.484375,3-6
2person-garage_000163#2,2person-garage_000163,images/2person-garage_000163.png,2,494.692841,349.237885,573.345215,596.193115,4.621094,3-6
2person-garage_000163#3,2person-garage_000163,images/2person-garage_000163.png,3,494.544983,347.39444,616.666321,598.909424,4.5625,3-6
2person-garage_000175#1,2person-garage_000175,images/2person-garage_000175.png,1,86.292206,307.940582,199.459946,561.265076,4.476562,3-6
2person-garage_000175#2,2person-garage_000175,images/2person-garage_000175.png,2,551.759827,346.336487,747.496094,701.720215,3.390625,3-6
2person-garage_000180#1,2person-garage_000180,images/2person-garage_000180.png,1,143.338211,289.398102,212.313721,512.260864,5.257812,3-6
2person-garage_000180#2,2person-garage_000180,images/2person-garage_000180.png,2,616.160522,320.528412,735.913147,678.465698,3.337891,3-6
2person-garage_000196#1,2person-garage_000196,images/2person-garage_000196.png,1,211.81929,336.497345,267.360016,493.960541,8.121094,>6
2person-garage_000196#2,2person-garage_000196,images/2person-garage_000196.png,2,713.178223,358.878662,884.418823,716.958435,3.285156,3-6
2person-garage_000201#1,2person-garage_000201,images/2person-garage_000201.png,1,240.477539,306.510162,297.890198,445.807098,9,>6
2person-garage_000201#2,2person-garage_000201,images/2person-garage_000201.png,2,770.596985,327.643402,881.642395,693.676941,3.253906,3-6
2person-garage_000212#1,2person-garage_000212,images/2person-garage_000212.png,1,221.947952,336.286713,271.307861,458.403442,10.398438,>6
2person-garage_000212#2,2person-garage_000212,images/2person-garage_000212.png,2,747.23407,359.236542,846.321411,709.472046,3.457031,3-6
2person-garage_000221#1,2person-garage_000221,images/2person-garage_000221.png,1,212.91687,279.705719,254.15744,387.731079,11.78125,>6
2person-garage_000221#2,2person-garage_000221,images/2person-garage_000221.png,2,709.709656,303.382324,788.380005,604.798645,3.839844,3-6
2person-garage_000239#1,2person-garage_000239,images/2person-garage_000239.png,1,307.694781,276.552957,362.131597,397.661338,13.070312,>6
2person-garage_000239#2,2person-garage_000239,images/2person-garage_000239.png,2,716.46698,314.286041,805.666809,611.308594,3.963867,3-6
2person-garage_000241#1,2person-garage_000241,images/2person-garage_000241.png,1,315.990631,290.976471,346.341038,405.6554,12.078125,>6
2person-garage_000241#2,2person-garage_000241,images/2person-garage_000241.png,2,714.621826,310.076385,805.102112,612.141785,3.999023,3-6
2person-garage_000251#1,2person-garage_000251,images/2person-garage_000251.png,1,374.065492,289.63152,419.300367,410.63128,11.449219,>6
2person-garage_000251#2,2person-garage_000251,images/2person-garage_000251.png,2,774.890686,313.698792,881.273682,643.314514,3.599609,3-6
2person-garage_000261#1,2person-garage_000261,images/2person-garage_000261.png,1,368.477551,306.140167,426.267975,433.046819,11.195312,>6
2person-garage_000261#2,2person-garage_000261,images/2person-garage_000261.png,2,853.63385,322.759735,959.960266,698.337402,3.099609,3-6
2person-garage_000278#1,2person-garage_000278,images/2person-garage_000278.png,1,374.720551,317.722961,425.782837,477.629242,7.675781,>6
2person-garage_000286#1,2person-garage_000286,images/2person-garage_000286.png,1,311.474396,317.635529,392.163116,508.250244,6.574219,>6
2person-garage_000286#2,2person-garage_000286,images/2person-garage_000286.png,2,784.599976,370.479553,959.388062,719.382996,2.818359,<3
2person-garage_000296#1,2person-garage_000296,images/2person-garage_000296.png,1,305.026703,300.835419,410.966217,544.41217,5.121094,3-6
2person-garage_000296#2,2person-garage_000296,images/2person-garage_000296.png,2,740.840332,343.567383,938.252563,719.457092,3.089844,3-6
2person-garage_000308#1,2person-garage_000308,images/2person-garage_000308.png,1,157.620987,308.892853,349.569336,695.787964,3.408203,3-6
2person-garage_000308#2,2person-garage_000308,images/2person-garage_000308.png,2,734.463928,355.889984,902.842407,697.997131,3.460938,3-6
2person-garage_000316#1,2person-garage_000316,images/2person-garage_000316.png,1,98.250069,263.09079,294.850342,718.022522,2.662109,<3
2person-garage_000316#2,2person-garage_000316,images/2person-garage_000316.png,2,700.435608,341.105988,818.563477,628.006714,4.0625,3-6
2person-garage_000323#1,2person-garage_000323,images/2person-garage_000323.png,1,150.597076,271.87616,323.49234,719.651978,2.714844,<3
2person-garage_000323#2,2person-garage_000323,images/2person-garage_000323.png,2,672.023621,337.201324,766.300415,581.88739,4.726562,3-6
2person-garage_000336#1,2person-garage_000336,images/2person-garage_000336.png,1,356.850586,289.716949,464.458649,617.524109,4.003906,3-6
2person-garage_000336#2,2person-garage_000336,images/2person-garage_000336.png,2,584.270569,347.904327,643.331909,504.142456,6.628906,>6
2person-garage_000345#1,2person-garage_000345,images/2person-garage_000345.png,1,377.480591,267.26239,497.555695,550.957092,4.421875,3-6
2person-garage_000345#2,2person-garage_000345,images/2person-garage_000345.png,2,514.671204,309.559479,591.696716,466.461456,7.199219,>6
2person-garage_000350#1,2person-garage_000350,images/2person-garage_000350.png,1,354.861145,271.307556,440.394836,555.463623,4.332031,3-6
2person-garage_000350#2,2person-garage_000350,images/2person-garage_000350.png,2,446.398773,306.844482,514.392029,462.088989,7.9375,>6
2person-garage_000366#1,2person-garage_000366,images/2person-garage_000366.png,1,360.269562,325.261688,448.237,539.205017,5.308594,3-6
2person-garage_000366#2,2person-garage_000366,images/2person-garage_000366.png,2,466.469696,294.545959,574.493408,603.542114,4.011719,3-6
2person-garage_000379#1,2person-garage_000379,images/2person-garage_000379.png,1,45.272118,303.154175,191.515411,672.305603,3.208984,3-6
2person-garage_000379#2,2person-garage_000379,images/2person-garage_000379.png,2,444.286377,287.226562,574.933228,630.342957,3.652344,3-6
2person-garage_000381#1,2person-garage_000381,images/2person-garage_000381.png,1,0,294.938171,114.69088,695.420837,3.066406,3-6
2person-garage_000381#2,2person-garage_000381,images/2person-garage_000381.png,2,427.449371,288.731232,578.965088,638.950806,3.564453,3-6
2person-garage_000399#1,2person-garage_000399,images/2person-garage_000399.png,1,435.473969,256.411682,603.924377,691.381287,2.75,<3
2person-garage_000405#1,2person-garage_000405,images/2person-garage_000405.png,1,442.661316,252.088257,603.037354,719.661133,2.207031,<3
2person-garage_000417#1,2person-garage_000417,images/2person-garage_000417.png,1,675.243042,220.211243,958.86261,718.20813,1.53418,<3
2person-garage_000420#1,2person-garage_000420,images/2person-garage_000420.png,1,681.596497,206.490646,959.120728,718.190002,1.380371,<3
